Código,Descripción,Definición,cuenta_digepres,descripcion_digepres
42281703,Kits de cuidado de instrumentos,"Sistemas de bandejas de instrumentos que se pueden utilizar para remojar, limpieza o desinfección.",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281704,Limpiadores o detergentes para instrumentos,Detergente es una sustancia tensioactiva y anfipática que tiene la propiedad química de disolver la suciedad o las impurezas de un objeto sin corroerlo,2.3.9.1.01,Útiles y materiales de limpieza e higiene
42281705,Equipo de lavado desinfectante para equipos e instrumentos de uso médico,Lavadora para lavado y desinfección de instrumentos,2.6.3.1.01,Equipo médico y de laboratorio
42281706,Lubricantes o leche para instrumentos,"Un lubricante es una sustancia que, colocada entre dos piezas móviles, no se degrada, y forma asimismo una película que impide su contacto, permitiendo su movimiento incluso a elevadastemperaturas y presiones.",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281707,Almohadillas para remover manchas de los instrumentos,Leche quirúrgica del lubricante del instrumento médico,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281708,Limpiadores de carros de esterilización,"Soluciones de limpieza preesterilización. Esterilización de productos médicos, auxiliares y equipos de laboratorio",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281709,Cepillos de limpieza de esterilización,Juego de cepillos para limpieza de instrumental quirurgico para cirugias.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281710,Desodorantes de esterilización,Accesorios de lavador o enjugador - juegos de tocador,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281711,Desincrustadores de esterilización,Producto líquido de elevada concentración cuya disolución en agua genera una solución ácida con altas propiedades desincrustantes.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281712,Equipo de limpieza ultrasónica,Un limpiador ultrasónico es un dispositivo de limpieza que utiliza los ultrasonidos (generalmente de 15-400 kHz) y una adecuada solución de limpieza para limpiar objetos delicados. Los ultrasonidos no son efectivos sin la solución de limpieza; éstos precisan una solución apropiada para cada objeto y la suciedad a limpiar.,2.6.3.1.01,Equipo médico y de laboratorio
42281713,Baldes de escurrido de esterilización,"Desinfección o equipo y soluciones de limpieza preesterilización. Esterilización de productos médicos, auxiliares y equipos de laboratorio",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281801,Tiras de prueba de desinfección,Tiras reactivas de análisis cualitativo y cuantitativo para comprobar los procesos de limpieza y desinfección en el sector alimentario y otros sectores relacionados.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281802,Etiquetas de esterilización,Se utilizan para identificar diferentes paquetes o materiales que serán expuestos a un proceso de esterilización.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281803,Kits biológicos de esterilización,"Equipos usados en el proceso en el que se destruye toda forma de vida microbiana ya seavegetativa o de resistencia, por lo que no se puede utilizar sobre personas. Los objetosque se someten a la esterilización son los utensilios críticos (instrumental quirúrgico,sondas urinarias, implantes)",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281804,Controles de esterilización,Controles  diseñados para evaluar las condiciones de esterilización y la eficacia del procedimiento.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281805,Registros indicadores de esterilización,"Aseguran el funcionamiento correcto del 
esterilizador y que las condiciones 
internas de la cámara alcancen los 
parámetros de la esterilización.",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281806,Tiras indicadoras de esterilización,Se utilizan para confirma la eficacia de un procedimiento de esterilización,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281807,Cintas indicadoras de esterilización,"Cintas indicadoras de vapor tienen rayas amarillas y adhesivo sensible a la presión. Cuando el proceso de esterilización por vapor es completo, el color de las rayas indicador cambia de amarillo a marrón oscuro o negro.",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281808,Papeles u hojas de esterilización,Hoja delgada hecha con pasta de fibras vegetales obtenidas de trapos utilizada para anotar las esterilizaciones.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281809,Sobres de almacenamiento de registros de esterilización,Elementos de papel que tienen una abertura por uno de sus lados que sirven para llevar el resgistro de esterilización.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281810,Paquetes de prueba y accesorios de esterilización,Elementos utilizados para realizar las pruebas de esterilización,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281901,Sujetadores o carritos para envoltorios o sobres de esterilización,"Parte alargada o estrecha con un extremo libre, por el cual se puede agarrar un instrumento o utensilio.",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281902,Fundas o sobre fundas de esterilización,Elemento que se utiliza para envolver parcial o compelas de esterización,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281903,Cubiertas contra el polvo de esterilización,Elemento que ayuda a mantener limpia los polvos de esteriliar.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281904,Bolsas de esterilización,Son elementos destinados en trabajar en hospitales con un gran volumen de pacientes.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281905,Selladores en caliente de esterilización,Son elementos de calor que son utilizados en la esterilización.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281906,Bandas de instrumentos de esterilización,Banda para evitar la contaminación del contenido del instrumental quirurgico previamente esterilizado.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281907,Protectores de instrumentos de esterilización,"Para proteger a los instrumentos cortantes y frágiles, al empaque de esterilización y al 
usuario",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281908,Recubrimientos de bandejas de instrumentos de esterilización,Utensilio usado para proteger a los instrumentos delicados durante la esterilización y la manipulación.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281909,Pistolas o cintas o esferos etiquetadores de esterilización,Papel usado para cubrir las bandejas de instrumentos para asi ayudar a facilitar la esterilización de proceso mediante la absorción de la condensación.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281912,Toallas de esterilización,"Es un corte de tela absorbente, llamado felpa, cuyo uso principal es secar la humedad en el cuerpo humano mediante el contacto directo.",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281913,Tunos de esterilización,Elementos cilindricos utilizados para el proceso de esterilización,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281914,Contenedores desechables de esterilización,Instrumentos médicos para la esterilización en los  consultorios.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281915,Rollos de esterilización,"Los tambores de esterilización planos se construyen a partir de papel de esterilización médica y películas de barrera de múltiples capas, y se imprimen con indicadores dobles de esterilización para el óxido de etileno y procesos de vapor de vapor.",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42281916,Talegos de esterilización,Elementos plasticos diseñados para almacenar el resultado de la esterización.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42291501,Molinos para biopsia de hueso para uso quirúrgico o productos relacionados,Equipo que fábrica huesos electrónicos diseñado para ofrecer rendimiento de huesos uniformes y consistentes.,2.6.3.2.01,Instrumental médico y de laboratorio
42291502,Trepanadores para biopsia de hueso para uso quirúrgico,"Es un instrumento quirúrgico que permite una biopsia percutánea de 7,5 mm de hueso de la cresta ilíaca, o de la cadera, en un paciente humano.",2.6.3.2.01,Instrumental médico y de laboratorio
42291601,Escalpelos o cuchillos o manijas de cuchillos láser para uso quirúrgico,Instrumentos medicos quirurgicos de corte y disección para cirugías en algunas especialidades médicas,2.6.3.2.01,Instrumental médico y de laboratorio
42291602,Tornillos o cables o alfileres o instrumentos para cortar alambre para uso quirúrgico,"Una pieza metálica larga de sección constante cilíndrica, normalmente hecha de acero o hierro.",2.6.3.2.01,Instrumental médico y de laboratorio
42291603,Fórceps para cortar hueso para uso quirúrgico,Instrumentos medicos quirurgicos de corte y disección para cirugías en algunas especialidades médica.,2.6.3.2.01,Instrumental médico y de laboratorio
42291604,Sierras de mano o sierras de alambre o manijas para sierras para huesos para uso quirúrgico,"Es una herramienta manual de corte formada por una hoja de sierra montada sobre un arco tornillos tensores. La hoja de sierra es la que proporciona el corte, mientras que el soporte incluye un mango que permite que la sierra pueda realizar su función.",2.6.3.2.01,Instrumental médico y de laboratorio
42291605,Brocas para uso quirúrgico,"Pieza de hierro larga y delgada que se usa para empujar, mover o pinchar algo con su extremo",2.6.3.2.01,Instrumental médico y de laboratorio
42291606,Cinceles o perforadoras para uso quirúrgico,Instrumentos medicos quirurgicos de corte y disección para cirugías  médicas,2.6.3.2.01,Instrumental médico y de laboratorio
42291607,Curetas o lanzaderas para uso quirúrgico,"Tejido de malla abierta, estéril y suave, que se usa para fines médicos.",2.6.3.2.01,Instrumental médico y de laboratorio
42291608,Bloques o tablas o plataformas de cortado para uso quirúrgico,"Un bloque de corte quirúrgico para su uso en la orientación de sierra para huesos y sus hojas similares en la cirugía ortopédica,",2.6.3.2.01,Instrumental médico y de laboratorio
42291609,Pinzas para uso quirúrgico,Instrumentos medicos quirurgicos de prensión y clampeo para cirugías en las distintas especialidades médicas,2.6.3.2.01,Instrumental médico y de laboratorio
42291610,Planos para uso quirúrgico,Es un plano de disección que se puede utilizar para extirpar un tumor preservando al mismo tiempo la mayor parte de las estructuras neurovasculares,2.6.3.2.01,Instrumental médico y de laboratorio
42291611,Raspadores para uso quirúrgico,Instrumentos medicos quirurgicos de corte y disección para cirugías médicas,2.6.3.2.01,Instrumental médico y de laboratorio
42291612,Tenazas para uso quirúrgico,Instrumento medico quirurgico de corte y disección para cirugías en algunas especialidades médicas.,2.6.3.2.01,Instrumental médico y de laboratorio
42291613,Escalpelos o bisturí,"Instrumento quirúrgico en forma de cuchillo pequeño, de hoja fina, puntiaguda, de uno o dos cortes, que se usa en procedimientos de cirugía, disecciones anatómicas y autopsias.",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42291614,Tijeras para uso quirúrgico,Instrumentos medicos quirurgicos de corte y disección para cirugías en algunas especialidades médicas.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42291615,Tijeras para uso quirúrgico,Instrumento medico quirurgico de corte y disección para cirugías en algunas especialidades médicas.,2.6.3.2.01,Instrumental médico y de laboratorio
42291616,Pinzas o cables de pinzas para uso quirúrgico,"Un instrumento quirúrgico con un asa de alambre controlado por un mecanismo en el mango, que se utiliza para extirpar tumores, tales como tumores y pólipos",2.6.3.2.01,Instrumental médico y de laboratorio
42291617,Espitas para uso quirúrgico,Instrumentos quirúrgicos con forma semejante a la de una pala,2.6.3.2.01,Instrumental médico y de laboratorio
42291619,Tomos (pinzas de resección) para uso quirúrgico,Material quirúrgico básico de productos de corte y relacionados.,2.6.3.2.01,Instrumental médico y de laboratorio
42291620,Trocadores quirúrgicos para uso general o accesorios,Instrumentos medicos quirurgicos de corte y disección para cirugías.,2.6.3.2.01,Instrumental médico y de laboratorio
42291621,Removedores de anillos de los dedos,Los trocares quirúrgicos utilizados para la cirugía laparoscópica son instrumentos de gran precisión con una mayor seguridad y funcionalidad.,2.6.3.2.01,Instrumental médico y de laboratorio
42291622,Adenotomos,Instrumentos medicos quirurgicos de corte y disección para cirugías.,2.6.3.2.01,Instrumental médico y de laboratorio
42291623,Periosteotomos,Instrumentos medicos quirurgicos de corte y disección para cirugías.,2.6.3.2.01,Instrumental médico y de laboratorio
42291624,Meniscotomos,Instrumentos medicos quirurgicos de corte y disección para cirugías.,2.6.3.2.01,Instrumental médico y de laboratorio
42291625,Instrumentos de incisión del talón de los bebés,Instrumentos de corte quirúrgicos.,2.6.3.2.01,Instrumental médico y de laboratorio
42291701,Brocas de mano o de torsión o kits de brocas o accesorios para uso quirúrgico,Instrumento que sirve para hacer agujeros; consiste en una barra metálica con un extremo cortante de uno o más filos y con una hendidura helicoidal que recorre la barra desde el filo para desalojar la viruta que se arranca durante el corte,2.6.3.2.01,Instrumental médico y de laboratorio
42291702,Escariadores o punzones de mano para uso quirúrgico,"Es una herramienta cilíndrica de corte empleada para conseguir agujeros con una precisión elevada, normalmente de tolerancia H7. Llevan talladas unas ranuras y dientes a lo largo de toda su longitud, que suelen ser rectos o helicoidales. Esta herramienta puede tener la espiral a izquierdas, para agujeros pasantes, o a derechas, para agujeros ciegos.",2.6.3.2.01,Instrumental médico y de laboratorio
42291703,Perforadoras para uso quirúrgico,"Dispositivo que permite eliminar tejido óseo y en particular, proceder al escariado acelerado de un canal medular según el pre-ámbulo de la reivindicación",2.6.3.2.01,Instrumental médico y de laboratorio
42291704,Punzones o sujeta punzones o accesorios para uso quirúrgico,"Es una pieza metálica de corte que crea orificios en diversos materiales cuando se coloca en una herramienta mecánica como taladro, berbiquí u otra máquina. Su función es formar un orificio o cavidad cilíndrica.",2.6.3.2.01,Instrumental médico y de laboratorio
42291705,Adaptadores de escariadores para uso quirúrgico,"Adaptador para un controlador escariador quirúrgico, determinada para la conexión con el Escariador de un estilo determinado, dicho adaptador integrado por: una base; una interfaz en un extremo de dicha base configurado para aparearse con dijo dada la interfaz; y, al menos un receso en el extremo opuesto de base apertura en una dirección axial y configurado recibir releasably un Escariador de un estilo a diferencia de interfaz estilo determinado.",2.6.3.2.01,Instrumental médico y de laboratorio
42291706,Fresas quirúrgicas o sus accesorios,Son instrumentos quirúrgicos que permite perforar el hueso a un determinado diámetro y profundidad según el tamaño del implante a colocar.,2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42291707,Kits de craneotomía,"Equipos usados en una operación quirúrgica en que parte del cráneo, llamado colgajo óseo, se elimina con el fin de acceder al cerebro.",2.6.3.2.01,Instrumental médico y de laboratorio
42291708,Brocas o accesorios para uso quirúrgico,"Barra de hierro con uno o los dos extremos cortantes, que sirve para agujerear o taladrar.",2.6.3.2.01,Instrumental médico y de laboratorio
42291709,Cuchillas de sierra o accesorios para uso quirúrgico,"Consiste en una hoja con el filo dentado y se maneja a mano o por otras fuentes de energía, como vapor, agua o electricidad. Según el material a cortar se utilizan diferentes tipos de hojas de sierra",2.6.3.2.01,Instrumental médico y de laboratorio
42291801,Aplicadores de ligantes de bandas o bandas o productos relacionados para uso quirúrgico,Instrumentos que se utilizan con la finalidad de ayudar a colocar las bandas ligadoras quirúrgicas.,2.6.3.2.01,Instrumental médico y de laboratorio
42291802,Pinzas o ganchos o fórceps o accesorios para uso quirúrgico,"Es un instrumento obstétrico en forma de tenazas, que sirve para ayudar a la extracción fetal desde la parte exterior simulando los mecanismos del parto normal.",2.6.3.2.01,Instrumental médico y de laboratorio
42291803,Pinzas o fórceps láser para uso quirúrgico,"Es un instrumento obstétrico en forma de tenazas, que sirve para ayudar a la extracción fetal desde la parte exterior simulando los mecanismos del parto normal.",2.6.3.2.01,Instrumental médico y de laboratorio
42291901,Sujetadores o posicionadores de instrumentos quirúrgicos,Elementos utilizados para posicionar los instrumentos quirúrgicos.,2.6.3.2.01,Instrumental médico y de laboratorio
42291902,Sujetadores o posicionadores de tubos para uso quirúrgico,Elementos utilizados para posicionar los tubos quirúrgicos.,2.6.3.2.01,Instrumental médico y de laboratorio
42292001,Espejos de otolaringología o accesorios para uso quirúrgico,Es un instrumento propio de la otorrinolaringología que consiste en un espejo cóncavo con un agujero que el explorador se sujeta en la cabeza mediante un cinta.,2.6.3.2.01,Instrumental médico y de laboratorio
42292101,Insertores o kits de insertores para uso quirúrgico,Conjunto de herramientas utilizadas para la inserción quirúrgica.,2.6.3.2.01,Instrumental médico y de laboratorio
42292102,Extractores para uso quirúrgico,El removedor se utiliza para quitar las grapas. Se diseña y se produce especialmente para que la buena función quite las grapas fácilmente después de que la piel fuera suturada por nuestra grapadora disponible de la piel.,2.6.3.2.01,Instrumental médico y de laboratorio
42292103,Porta tubos o llaves para uso quirúrgico,Una llave portabrocas quirúrgico que comprende un cuerpo alargado de una construcción cilíndrica que tiene una superficie suave y redondeada. Un engranaje clave situado en un primer extremo distal del cuerpo alargado que tiene una pluralidad de dientes de engranaje con los nudillos redondeados. Un mango que tiene un eje alargado está construido y dispuesto de modo que no hay bordes afilados se proporcionan en el mango.,2.6.3.2.01,Instrumental médico y de laboratorio
42292201,Aproximadores para uso quirúrgico,Instrumentos medico quirurgicos que juntan y afrontan partes o tejidos durante la cirugia,2.6.3.2.01,Instrumental médico y de laboratorio
42292202,Compresores para uso quirúrgico,Máquinas que se utilizan en los quirofanos para aumentar la presión y desplazar ciertos tipos de fluidos.,2.6.3.2.01,Instrumental médico y de laboratorio
42292203,Depresores para uso quirúrgico,"Un depresor es una sustancia química que ralentiza la actividad del sistema nervioso central. Los depresores son utilizados en medicina como ansiolíticos, sedantes o somníferos. También son utilizados con fines no terapéuticos como drogas lúdicas o de abuso.",2.6.3.2.01,Instrumental médico y de laboratorio
42292301,Instrumentos para doblar para uso quirúrgico,Instrumentos fablicados en hierros de flexión para cirugias ortopédicos en acero inoxidable.,2.6.3.2.01,Instrumental médico y de laboratorio
42292302,Engarzadores para uso quirúrgico,Alambre arrugadores diseñados para doblar o apretar los alambres metálicos a los huesos durante los procedimientos ortopédicos.,2.6.3.2.01,Instrumental médico y de laboratorio
42292303,Alicates para uso quirúrgico,Son instrumentos similares a tenacillas sin cierre que se emplean para tomar el tejido. Los extremos proximales están unidos para permitir que los extremos del agarre se abran soltando o cierren apretando.,2.6.3.2.01,Instrumental médico y de laboratorio
42292304,Tensores para uso quirúrgico,Un instrumento para aplicar tension a un cable quirurgico metalico usado en ciertos procedimientos quirurgicos,2.6.3.2.01,Instrumental médico y de laboratorio
42292305,Agarres para uso quirúrgico,Tornillo banco agarre quirúrgico de acero inoxidable.,2.6.3.2.01,Instrumental médico y de laboratorio
42292306,Fórceps o tenazas de alambre para uso quirúrgico,"Instrumento, en forma de tenaza  que complementan el acto de luxación o extracción",2.6.3.2.01,Instrumental médico y de laboratorio
42292307,Llaves para uso quirúrgico,Herramienta de metal utilizada en cirugias con la finalidad de apretar elementos mecánicos que hayan sido incorporados al cuerpo humano.,2.6.3.2.01,Instrumental médico y de laboratorio
42292401,Roscas para uso quirúrgico,Para preparar la rosca e introducir el implante de forma precisa y atraumática en el lecho implantario,2.6.3.2.01,Instrumental médico y de laboratorio
42292402,Controladores o sus partes o accesorios para uso quirúrgico,"Matrices están destinados a cortar, puncionar o dar forma a placas metálicas utilizando la deformación plástica de estas sin generar arranque de virutas",2.6.3.2.01,Instrumental médico y de laboratorio
42292403,Mangos de hachas para uso quirúrgico,"Mecanismo en forma de lengüeta que, colocado en los dientes de una rueda, obliga a que esta gire hacia un lado y no hacia el otro con abrazaderas de hueso diseño de mecanismo de trinquete que permite rápida para el apriete y liberar alrededor del hueso..",2.6.3.2.01,Instrumental médico y de laboratorio
42292501,Tapones para uso quirúrgico,"Dispositivos cónicos que se elaboran con material blando como lienzo, gasa, etc., para dilatar un orificio o para conservar abierta una herida; o en las operaciones quirúrgicas, para taponar nariz, vagina, etc., con la finalidad de controlar la hemorragia o de absorber secreciones",2.6.3.2.01,Instrumental médico y de laboratorio
42292502,Martillos o martillos quirúrgicos para uso quirúrgico,"Intrumento medico quirurgicos usados para golpear estructuras corporales u otros instrumentos quirurgicos en consulta o cirugia de algunas especialidades médicas como: ortopedia, traumatologia.",2.6.3.2.01,Instrumental médico y de laboratorio
42292503,Impactadores o empacadores para uso quirúrgico,"Una llave de la energía eléctrica o neumática con archivos adjuntos cabezal portaherramientas intercambiables, que se utiliza para la instalación y desmontaje de los pernos, tuercas y tornillos.",2.6.3.2.01,Instrumental médico y de laboratorio
42292504,Prensas para uso quirúrgico,"Es un mecanismo conformado por vasos comunicantes impulsados por pistones de diferente área que, mediante pequeñas fuerzas, permite obtener otras mayores.",2.6.3.2.01,Instrumental médico y de laboratorio
42292505,Martillos o cabezas de martillo para uso quirúrgico,Martillo con cabeza de dos bocas iguales y mango corto usado para golpear el cincel o puntero.,2.6.3.2.01,Instrumental médico y de laboratorio
42292601,Dilatadores o accesorios para uso quirúrgico,"Instrumento medico quirurgico con forma de varilla, graduado que se utilizan para agrandar un canal o conducto en consulta o cirugia",2.6.3.2.01,Instrumental médico y de laboratorio
42292602,Muescas para uso quirúrgico,Hueco que se hace en una cosa para encajar otra. Corte que se hace como señal:,2.6.3.2.01,Instrumental médico y de laboratorio
42292603,Sondas o directores para uso quirúrgico,Tubos de conexion de instrumentos quirurgicos.,2.6.3.2.01,Instrumental médico y de laboratorio
42292701,Disectores para uso quirúrgico,Instrumento medico quirurgico agudo o romo empleado para separar tejidos o planos tisulares durante la cirugia.,2.6.3.2.01,Instrumental médico y de laboratorio
42292702,Levantadores o niveladores para uso quirúrgico,"Los elevadores son usados como palancas para fracturar las piezas dentales,",2.6.3.2.01,Instrumental médico y de laboratorio
42292703,Elevadores para uso quirúrgico,Elementos utilizados para levantar al paciente en un proceso quirurgico.,2.6.3.2.01,Instrumental médico y de laboratorio
42292704,Picas para uso quirúrgico,"Herramienta con dos bocas opuestas,una plana como de martillo y otra aguzada como de pico.",2.6.3.2.01,Instrumental médico y de laboratorio
42292801,Instrumentos de marcación oftálmica,Equipo e instrumentos quirúrgicos especializados en Oftalmología,2.6.3.2.01,Instrumental médico y de laboratorio
42292802,Instrumentos de marcación quirúrgica para uso general,Equipo e instrumentos quirúrgicos especializados en Oftalmología,2.6.3.2.01,Instrumental médico y de laboratorio
42292901,Instrumentos de cerclaje para uso quirúrgico,"Equipo de procedimiento que consiste en la colocación de un anillo alrededor del cuello uterino cuando hay evidencia de un cérvix incompetente, (cérvix  ó cuello de la matriz, es la parte del útero que se encuentra en la vagina, usualmente forma un anillo fuerte que impide que el feto descienda a la vagina y se produzca el parto antes de su madurez)",2.6.3.2.01,Instrumental médico y de laboratorio
42292902,Sujetadores de aguja láser para uso quirúrgico,"Se usa para tomar y sostener agujas quirúrgicas curvas, son muy parecidos a las pinzas",2.6.3.2.01,Instrumental médico y de laboratorio
42292903,Sujetadores de agujas quirúrgicas para uso general,Se usa para tomar y sostener agujas quirúrgicas.,2.6.3.2.01,Instrumental médico y de laboratorio
42292904,Suturas quirúrgicas o pasadores de alambre o productos relacionados,"Hilo o material filamentoso natural o sintético usado para la síntesis te los tejidos y ligar los vasos sanguíneos,",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42292907,Sistemas para estirar la piel,"Equipos para procedimiento quirúrgico para reparar la piel descolgada, caída y arrugada de la cara y el cuello.",2.6.3.2.01,Instrumental médico y de laboratorio
42292908,Dispositivos de costura de bolsa para uso quirúrgico,"Equipos que se utilizan para suturar o coser  una herida en la piel, órganos internos, vasos sanguíneos y todos los demás tejidos del cuerpo humano en general, permanezca cerrada y pueda cicatrizar",2.6.3.2.01,Instrumental médico y de laboratorio
42293001,Calibradores o reglas para uso quirúrgico,Implementos de medición quirúrgicos.,2.6.3.1.01,Equipo médico y de laboratorio
42293002,Sondas o varas de medición para uso quirúrgico,Instrumental quirurgico  de medición.,2.6.3.1.01,Equipo médico y de laboratorio
42293003,Instrumentos de medición de ganchos para uso quirúrgico,Instrumento de medición  que se usa para comparar magnitudes físicas mediante un proceso de medición,2.6.3.1.01,Equipo médico y de laboratorio
42293004,Instrumentos quirúrgicos de determinación de tamaño para uso general,"Aparatos, accesorios e instrumental para uso específico, destinado a la atención médica, quirúrgica o a procedimientos de exploración y  diagnóstico,",2.6.3.1.01,Equipo médico y de laboratorio
42293005,Instrumentos de determinación de tamaño de válvula para uso quirúrgico,"Aparatos, accesorios e instrumental para uso específico, destinado a la atención médica, quirúrgica o a procedimientos de exploración y  diagnóstico,",2.6.3.1.01,Equipo médico y de laboratorio
42293006,Cintas de medición para uso quirúrgico,"Cinta metrica para perimetros-material equipamiento clinico medico hospitalario.  Es un instrumento de medida que consiste en una cinta flexible graduada y se puede enrollar, haciendo que el transporte sea más fácil.",2.3.9.3.01,Útiles menores médico quirúrgicos o de laboratorio
42293101,Retractores láser para uso quirúrgico,"Este tipo de retractores con anclaje a mesa quirúrgica se utilizan en intervenciones practicadas mediante cirugía abierta en las especialidades de Cirugía General, Urología, Cirugía Vascular, y Ginecología.",2.6.3.2.01,Instrumental médico y de laboratorio
42293102,Ganchos de retracción para uso quirúrgico,Elementos utilizados para brindar mayor espacio dentro del área a operar.,2.6.3.2.01,Instrumental médico y de laboratorio
42293103,Retractores de fibra óptica iluminados para uso quirúrgico,Elementos utilizados para brindar mayor espacio dentro del área a operar con iluminación.,2.6.3.2.01,Instrumental médico y de laboratorio
42293104,Mordazas o accesorios para uso quirúrgico,Aparato utilizado para mantener los maxilares abiertos durante una intervención quirúrgica dental o periodonta,2.6.3.2.01,Instrumental médico y de laboratorio
42293105,Retractores de inclinación para uso quirúrgico,"Es un instrumento quirúrgico por el cual un cirujano puede separar ya sea activamente los bordes de una incisión quirúrgica o herida , o puede contener subyacentes órganos y tejidos , por lo que las partes del cuerpo bajo la incisión se puede acceder.",2.6.3.2.01,Instrumental médico y de laboratorio
42293106,Sets de retractores para uso quirúrgico,"Instrumentos medicos quirurgico que tracciona, separa y mantiene los tejidos, organos,vasos, fuera del área de trabajo quirurgico durante la cirugia",2.6.3.2.01,Instrumental médico y de laboratorio
42293107,Retractores quirúrgicos para uso general,"Instrumento medico quirurgico que tracciona, separa y mantiene los tejidos, organos,vasos, fuera del área de trabajo quirurgico durante la cirugia.",2.6.3.2.01,Instrumental médico y de laboratorio
42293108,Estabilizadores para uso quirúrgico,"Instrumento que incluye un elemento alargado, rígido mango, un cuello en el extremo del mango, una pierna de base conectada al extremo del cuello, y primero y segundo dedos espaciados, generalmente planas que son dispuestas generalmente paralelas entre sí y que se encuentran en un plano dispuesto en un ángulo desde el eje longitudinal del mango.",2.6.3.2.01,Instrumental médico y de laboratorio
42293109,Protectores de tejidos para uso quirúrgico,Elementos que se utilizan para dar protección a los tejidos blandos en una operación quirúrgica.,2.6.3.2.01,Instrumental médico y de laboratorio
42293110,Retractores ortopédicos,"Instrumento medico quirurgico que tracciona, separa y mantiene los tejidos, organos,vasos, fuera del área de trabajo quirurgico durante la cirugia ortopédica.",2.6.3.2.01,Instrumental médico y de laboratorio
42293111,Retractores oftálmicos,"Instrumento medico quirurgico que tracciona, separa y mantiene los tejidos, organos,vasos, fuera del área de trabajo quirurgico durante la cirugia oftálmica.",2.6.3.2.01,Instrumental médico y de laboratorio
42293112,Retractores torácicos o cardiovasculares,"Instrumento medico quirurgico que tracciona, separa y mantiene los tejidos, organos,vasos, fuera del área de trabajo quirurgico durante la cirugia.",2.6.3.2.01,Instrumental médico y de laboratorio
42293113,Retractores de vena,"Instrumento medico quirurgico que tracciona, separa y mantiene los tejidos, organos,vasos, fuera del área de trabajo quirurgico durante la cirugia.",2.6.3.2.01,Instrumental médico y de laboratorio
42293114,Retractores bucales,"Retractor de labios y de mejillas para la adhesión de brackets, pro laxias, blanqueamiento, fotografía, aplicación 
de  uor y restauraciones adhesivas. Tiene un dispositivo que mantiene la lengua apartada, proporciona la abertura ideal para la ejecución del tratamiento.",2.6.3.2.01,Instrumental médico y de laboratorio
42293115,Retractores traqueales,"Instrumento medico quirurgico que tracciona, separa y mantiene los tejidos, organos,vasos, fuera del área de trabajo quirurgico durante una traqueotomia.",2.6.3.2.01,Instrumental médico y de laboratorio
42293116,Retractores rectales,"Instrumento medico quirurgico que tracciona, separa y mantiene los tejidos, organos,vasos, fuera del área de trabajo quirurgico durante la cirugia.",2.6.3.2.01,Instrumental médico y de laboratorio
42293117,Retractores gastrointestinales,"Instrumento medico quirurgico que tracciona, separa y mantiene los tejidos, organos,vasos, fuera del área de trabajo quirurgico durante la cirugia.",2.6.3.2.01,Instrumental médico y de laboratorio
